 22, "BS Fat Side FN",          1,  59.0,  16.4,  28.8,  40.9,  52.9
 23, "BS Flamming Bass FN",     1,  58.4,  18.0,  29.7,  41.7,  53.7
 24, "BS Goodspeed FN",         1,  58.4,  23.8,  34.8,  45.5,  56.8
 25, "BS Hard 80's",            1,  58.4,  16.6,  26.8,  36.7,  46.8
 26, "BS Knarziger FN",         1,  58.4,  17.0,  27.4,  37.7,  48.3
 27, "BS LFO Roller FN",        1,  58.4,  18.0,  30.3,  42.6,  55.0
 28, "BS Madskillz FN",         1,  58.4,  23.1,  33.1,  43.2,  53.9
 29, "BS Mixmiddle FN",         1,  57.8,  21.5,  39.0,  56.5,  74.1
 30, "BS Night And Day FN",     6,  57.8,  18.2,  30.4,  42.5,  54.7
 31, "BS Noizigian FN",         1,  57.8,  18.1,  30.7,  43.3,  56.0
 32, "BS Open Bass FN",         1,  57.8,  16.4,  28.0,  39.4,  51.1
 33, "BS Pluggiator FN",        1,  57.1,  23.7,  35.5,  46.5,  57.7
 34, "BS SAWbreaker FN",        1,  57.8,  17.8,  29.2,  40.2,  51.4
 35, "BS Sawlight FN",          1,  57.1,  19.8,  31.2,  42.4,  53.8
 36, "BS Sci Fi",               1,  57.1,  24.2,  42.1,  60.3,  78.3
 37, "BS Slow Filter FN",       1,  57.1,  27.0,  39.9,  53.1,  66.2
 38, "BS Small Bassist FN",     6,  57.1,  26.1,  38.4,  50.4,  62.8
 39, "BS Syncetel Bass FN",     6,  57.1,  17.0,  27.4,  37.9,  48.4
 40, "BS Tripple Wobbler",      1,  57.8,  15.9,  27.5,  38.9,  50.5
 41, "BS Wobbler FN",           1,  57.1,  27.3,  40.8,  54.5,  68.6
 42, "BS Wobbler II FN",        1,  57.1,  28.0,  42.4,  57.0,  71.7
 43, "CD Universal FN",         1,  57.1,  25.9,  38.0,  49.8,  62.1
 44, "CH Chordionator FN",      6,  57.1,  25.1,  36.7,  48.1,  59.9
 45, "CH Chordionator II FN",   1,  57.1,  25.4,  36.8,  48.2,  60.0
 46, "CH Chordionator III FN",  3,  57.1,  15.7,  27.2,  38.7,  49.8
 47, "CH Chordionator IV FN",   1,  57.1,  23.9,  35.2,  46.6,  58.5
 48, "CH Open Mind FN",         1,  57.1,  26.1,  38.0,  49.8,  62.1
 49, "CH SIDchord FN",          6,  57.1,  27.4,  40.5,  54.0,  67.7
 50, "DR 8bit  Kick II FN",     1,  57.1,  23.2,  36.2,  49.1,  62.4
 51, "DR 8bit  Kick III FN",    6,  57.1,  28.8,  40.9,  53.1,  65.5
 52, "DR 8bit Kick FN",         6,  56.5,  25.6,  36.6,  48.1,  59.3
 53, "DR Crash Space",          6,  57.1,  23.4,  42.8,  62.3,  82.3
 54, "DR Hat Reverse",          1,  56.5,  17.9,  32.1,  46.2,  60.1
 55, "DR Hat Short Moves",      1,  56.5,  18.3,  32.2,  46.1,  60.1
 56, "DR Hat Short",            4,  56.5,  17.9,  31.9,  45.7,  59.7
 57, "DR HiHat FN",             1,  56.5,  13.7,  22.6,  31.6,  40.5
 58, "DR Kick Clean",           1,  56.5,  19.3,  34.1,  48.9,  63.7
 59, "DR Kick FN",              1,  56.5,  14.9,  24.8,  34.8,  44.8
 60, "DR Kick II FN",           1,  56.5,  28.7,  38.9,  49.1,  59.7
 61, "DR Kick III FN",          1,  56.5,  28.4,  40.5,  52.5,  64.9
 62, "DR Kick Old School",      6,  55.8,  19.3,  34.1,  49.0,  63.8
 63, "DR Kick Phat",            1,  56.5,  26.4,  40.6,  54.9,  69.3
 64, "DR Perc Bongo Room",      1,  55.8,  23.9,  35.9,  48.1,  60.1
 65, "DR Perc Room",            1,  56.5,  22.3,  32.6,  42.9,  53.4
