 37, "BS Slow Filter FN",       1,  58.4,  22.4,  33.3,  44.2,  55.1,  65.7
 38, "BS Small Bassist FN",     6,  57.8,  21.7,  32.0,  42.0,  52.5,  62.5
 39, "BS Syncetel Bass FN",     6,  58.4,  14.1,  22.9,  31.5,  40.3,  49.0
 40, "BS Tripple Wobbler",      1,  57.8,  13.2,  22.9,  32.4,  41.9,  51.4
 41, "BS Wobbler FN",           1,  58.4,  22.7,  34.0,  45.3,  57.2,  68.0
 42, "BS Wobbler II FN",        1,  58.4,  23.3,  35.3,  47.3,  59.8,  71.8
 43, "CD Universal FN",         1,  59.0,  21.6,  31.6,  41.6,  51.7,  61.7
 44, "CH Chordionator FN",      6,  59.0,  21.1,  30.5,  40.0,  49.9,  58.9
 45, "CH Chordionator II FN",   1,  57.8,  21.2,  30.7,  40.2,  50.1,  58.9
 46, "CH Chordionator III FN",  3,  58.4,  13.1,  22.7,  32.3,  41.5,  50.7
 47, "CH Chordionator IV FN",   1,  57.8,  19.8,  29.3,  38.8,  48.8,  58.5
 48, "CH Open Mind FN",         1,  58.4,  21.7,  31.7,  41.5,  51.7,  61.5
 49, "CH SIDchord FN",          6,  58.4,  22.9,  33.8,  44.9,  56.2,  67.4
 50, "DR 8bit  Kick II FN",     1,  59.0,  19.3,  30.2,  40.9,  52.0,  62.8
 51, "DR 8bit  Kick III FN",    6,  57.8,  23.9,  34.2,  44.2,  54.8,  64.9
 52, "DR 8bit Kick FN",         6,  58.4,  21.4,  30.5,  40.0,  49.4,  59.2
 53, "DR Crash Space",          6,  58.4,  19.6,  35.6,  52.0,  68.5,  85.1
 54, "DR Hat Reverse",          1,  58.4,  14.9,  26.7,  38.5,  50.0,  61.7
 55, "DR Hat Short Moves",      1,  58.4,  15.3,  26.8,  38.5,  50.1,  61.5
 56, "DR Hat Short",            4,  58.4,  14.9,  26.5,  38.2,  49.8,  61.2
 57, "DR HiHat FN",             1,  58.4,  11.4,  18.8,  26.4,  33.7,  41.1
 58, "DR Kick Clean",           1,  58.4,  16.1,  28.4,  40.7,  53.1,  65.3
 59, "DR Kick FN",              1,  59.0,  12.4,  20.7,  29.0,  37.4,  45.5
 60, "DR Kick II FN",           1,  58.4,  23.9,  32.4,  41.0,  49.6,  58.3
 61, "DR Kick III FN",          1,  58.4,  23.8,  33.7,  43.8,  54.2,  64.3
 62, "DR Kick Old School",      6,  59.0,  16.1,  28.4,  40.8,  53.1,  65.4
 63, "DR Kick Phat",            1,  59.0,  22.0,  33.9,  45.8,  57.7,  69.4
 64, "DR Perc Bongo Room",      1,  58.4,  20.0,  29.9,  40.0,  50.2,  59.5
 65, "DR Perc Room",            1,  59.0,  18.6,  27.2,  35.8,  44.4,  52.3
 66, "DR Snare Dry",            1,  58.4,  17.6,  28.5,  39.0,  49.5,  59.8
 67, "DR Sub Impact",           1,  57.8,  12.5,  20.9,  29.4,  37.8,  46.2
 68, "FX Alien Storm",          1,  58.4,  29.1,  48.4,  68.3,  88.8, 109.8
 69, "FX Blubberwasser FN",     1,  57.8,  27.6,  42.2,  57.3,  73.0,  88.3
 70, "FX Break FM",             6,  57.8,  29.3,  49.4,  70.0,  91.5, 113.1
 71, "FX C64 FN",               1,  57.8,  26.3,  41.0,  55.3,  69.2,  82.5
 72, "FX Digital Transfer",     1,  58.4,  26.7,  44.4,  62.6,  82.1, 102.4
 73, "FX Falling Break",        1,  57.8,  54.3,  54.3,  54.0,  53.9,  54.0
 74, "FX Metallica FN",         1,  58.4,  67.5,  67.6,  42.3,  55.0,  67.7
 75, "FX Mod Triangle FM",      1,  58.4,  13.8,  24.3,  35.2,  46.0,  56.7
 76, "FX Noiz3machin3 FN",      1,  58.4,  24.1,  38.8,  55.7,  67.3,  81.9
 77, "FX Quitscheentchen FN",   6,  57.8,  27.7,  42.4,  57.4,  73.0,  88.2
 78, "FX Radeberger FN",        6,  58.4,  28.0,  45.3,  63.1,  78.4,  98.9
 79, "FX Raindrops FN",         6,  57.8,  87.5,  56.5,  57.4,  72.6,  87.3
 80, "FX Reverse FM",           6,  58.4,  14.7,  25.3,  35.9,  46.4,  57.1
 81, "FX SO 6dB Sweep",         1,  58.4,  12.8,  21.8,  30.8,  39.6,  48.4
 82, "FX Swell FN",             1,  58.4,  21.0,  31.9,  42.8,  54.2,  65.4
 83, "FX Turntable FN",         6,  59.0,  32.0,  49.8,  67.8,  87.0, 106.9
 84, "KB Big Synth FN",         6,  57.8,  56.9,  57.1,  57.1,  48.3,  56.7
 85, "KB E-Piano",              6,  58.4,  19.4,  28.9,  38.1,  47.6,  58.9
 86, "KB Glockenschlag FN",     4,  58.4,  21.6,  32.0,  42.1,  52.8,  63.7
 87, "KB Piano House",          6,  58.4,  21.1,  30.8,  40.3,  49.7,  58.9
 88, "KB White Noise FN",       3,  59.0,  19.6,  28.9,  38.5,  48.3,  57.6
 89, "LD 8bitter II FN",        6,  58.4,  24.3,  34.8,  45.3,  56.2,  65.9
 90, "LD Acid Saw",             6,  58.4,  13.1,  22.6,  31.5,  40.5,  49.3
 91, "LD Bon Voyage FN",        1,  59.0,  19.3,  28.0,  36.8,  45.8,  54.4
 92, "LD Crystal Lead",         1,  58.4,  20.8,  31.4,  41.9,  52.9,  63.7
 93, "LD Drop In Pulse",        3,  58.4,  59.0,  59.0,  48.4,  48.9,  58.5
 94, "LD Funky Mod",            1,  57.8,  12.8,  21.8,  30.8,  39.7,  48.5
 95, "LD Metal Wahuuu",         1,  58.4,  14.6,  26.0,  37.0,  48.0,  59.1
 96, "LD Morph Sync",           1,  59.0,  26.6,  43.5,  60.5,  78.4,  95.1
 97, "LD Noisy Sync Lead",      1,  58.4,  17.1,  31.1,  45.0,  58.8,  72.6
 98, "LD Plastic Attack",       1,  59.0,  16.7,  27.0,  37.0,  46.9,  56.7
 99, "LD Pleutonium FN",        1,  58.4,  21.7,  29.9,  38.2,  46.6,  54.7
100, "LD Plucked String",       1,  58.4,  23.6,  35.6,  47.7,  60.5,  73.1
101, "LD Power Lead",           5,  58.4,  16.2,  28.0,  39.6,  51.2,  63.1
102, "LD Resobells FN",         1,  58.4,  24.0,  35.3,  46.6,  58.5,  70.6
103, "LD Sci Fi Organ",         6,  59.0,  23.8,  38.0,  52.3,  67.1,  81.7
104, "LD Soft Bell Lead",       4,  58.4,  24.6,  39.8,  55.1,  70.5,  86.1
105, "LD Special Starter",      1,  57.8,  24.1,  37.6,  51.6,  65.7,  79.9
106, "LD Spring Bell",          2,  59.0,  24.9,  40.4,  56.3,  72.4,  88.3
107, "LD SYNCElead FN",         1,  57.8,  22.5,  33.9,  45.3,  57.4,  68.8
108, "LD Technoshocker FN",     1,  58.4,  14.4,  25.0,  35.7,  46.6,  57.1
109, "LD Thin Lead",            1,  58.4,  22.2,  33.1,  44.2,  56.2,  67.7
110, "LD Tranceline FN",        1,  57.8,  22.5,  31.8,  40.9,  50.5,  59.6
111, "LD Woholead FN",          1,  58.4,  13.3,  22.6,  31.9,  41.2,  50.6
112, "PD  Ringmodded FN",       1,  59.0,  24.4,  35.0,  46.2,  57.4,  67.9
113, "PD Base Pad",             6,  58.4,  52.8,  52.9,  33.2,  42.5,  51.8
114, "PD Bellomatism FN",       3,  57.8,  64.6,  64.8,  42.6,  53.6,  64.5
115, "PD Big Trancer FN",       6,  58.4,  22.6,  32.4,  42.0,  52.3,  61.9
116, "PD Bit Orchestra",        6,  59.0,  23.7,  35.9,  48.5,  61.9,  74.6
117, "PD Bursting Pad",         4,  57.8,  28.1,  45.3,  62.5,  79.9,  97.1
118, "PD Dark Animations FN",   3,  58.4,  20.2,  30.1,  40.1,  49.9,  59.3
119, "PD Easymat FN",           6,  59.0,  21.7,  31.5,  41.4,  51.7,  61.7
120, "PD Floating Pad",         6,  58.4,  27.3,  45.4,  63.5,  82.3, 101.5
121, "PD Gated Pad",            3,  57.8,  71.1,  68.1,  68.3,  58.6,  70.4
122, "PD Glasometer FN",        3,  57.8,  68.3,  69.0,  56.3,  57.1,  68.6
123, "PD Open Square FN",       6,  57.8,  64.6,  55.3,  45.2,  56.1,  66.3
124, "PD Padwobbler FN",        6,  59.0,  74.2,  61.9,  50.2,  63.1,  75.7
125, "PD Sun Rise",             6,  58.4,  72.7,  35.2,  47.6,  60.7,  73.3
126, "PD Sweet Analogue",       4,  57.8,  73.5,  72.7,  72.5,  72.7,  75.4
127, "PD Twoflower FN",         4,  58.4,  85.0,  83.4,  83.6,  64.7,  84.2
  0, "! Startup Juno Osc",      6,  55.8,  11.9,  20.3,  28.7,  37.0,  45.3
  1, "ARP 303 Like FN",         1,  56.5,  19.8,  29.6,  38.7,  48.0,  56.9
  2, "ARP 303 Like II FN",      1,  56.5,  20.3,  30.6,  40.4,  50.8,  60.2
  3, "ARP C64 FN",              1,  56.5,  28.5,  45.3,  61.8,  78.6,  95.3
  4, "ARP C64 II FN",           1,  57.1,  27.7,  44.4,  60.6,  77.1,  93.2
  5, "ARP C64 III FN",          1,  57.1,  27.8,  44.3,  61.2,  78.4,  95.2
  6, "ARP C64 IV FN",           1,  56.5,  23.7,  33.7,  43.8,  54.1,  64.3
  7, "ARP Demotrack ARP FN",    6,  56.5,  14.0,  23.8,  33.4,  43.1,  52.5
  8, "ARP Rumpelkammer FN",     1,  57.8,  16.2,  27.3,  38.2,  49.0,  59.9
  9, "BS 007 X",                6,  56.5,  15.3,  25.9,  36.1,  46.6,  57.0
 10, "BS 7th Gates FN",         1,  57.8,  12.7,  21.9,  30.7,  39.5,  48.1
 11, "BS Bass Deep Room",       1,  57.8,  19.6,  29.3,  38.4,  47.4,  56.5
 12, "BS Bassolead FN",         1,  57.1,  23.4,  35.1,  46.7,  58.7,  70.1
 13, "BS Basspa_ FN",           1,  57.8,  15.4,  25.9,  36.3,  46.8,  57.2
 14, "BS C64 Octavebass FN",    1,  58.4,  22.4,  38.0,  53.3,  68.7,  84.0
 15, "BS Clean Flat Bass",      1,  58.4,  12.7,  21.9,  30.8,  39.7,  48.7
 16, "BS D&B Wubler",           1,  58.4,  13.8,  24.1,  33.7,  43.6,  53.2
 17, "BS Dark Bass",            1,  57.1,  13.6,  23.9,  34.0,  43.6,  53.3
 18, "BS Dark Night FN",        3,  57.8,  15.0,  24.1,  33.3,  42.5,  51.4
 19, "BS Detuned FN",           1,  57.1,  15.6,  26.0,  36.5,  46.9,  57.0
 20, "BS Easy Listener FN",     6,  57.1,  15.3,  25.9,  36.1,  46.7,  57.0
 21, "BS Energyator FN",        1,  57.8,  13.0,  22.0,  31.1,  40.2,  49.1
 22, "BS Fat Side FN",          1,  57.8,  13.7,  24.0,  34.1,  44.0,  53.5
 23, "BS Flamming Bass FN",     1,  57.8,  15.0,  24.8,  34.6,  44.4,  54.3
 24, "BS Goodspeed FN",         1,  57.8,  19.8,  29.0,  38.0,  47.2,  56.2
 25, "BS Hard 80's",            1,  57.8,  13.8,  22.1,  30.5,  39.0,  47.3
 26, "BS Knarziger FN",         1,  57.8,  14.1,  22.8,  31.4,  40.2,  48.9
 27, "BS LFO Roller FN",        1,  57.8,  15.0,  25.2,  35.3,  45.6,  55.7
 28, "BS Madskillz FN",         1,  57.8,  19.2,  27.6,  36.0,  45.0,  53.3
 29, "BS Mixmiddle FN",         1,  58.4,  17.9,  32.5,  47.1,  61.7,  76.3
 30, "BS Night And Day FN",     6,  57.8,  15.2,  25.3,  35.4,  45.6,  55.6
 31, "BS Noizigian FN",         1,  57.8,  15.1,  25.6,  36.1,  46.6,  57.1
 32, "BS Open Bass FN",         1,  58.4,  13.7,  23.4,  32.8,  42.6,  52.1
 33, "BS Pluggiator FN",        1,  59.0,  19.8,  29.6,  38.8,  48.1,  57.2
 34, "BS SAWbreaker FN",        1,  57.8,  14.9,  24.3,  33.5,  42.8,  52.0
 35, "BS Sawlight FN",          1,  57.8,  16.5,  26.0,  35.3,  44.9,  54.2
 36, "BS Sci Fi",               1,  57.8,  20.4,  35.1,  50.1,  65.2,  80.3
 37, "BS Slow Filter FN",       1,  58.4,  22.4,  33.4,  44.3,  55.2,  65.6
 38, "BS Small Bassist FN",     6,  58.4,  21.7,  32.0,  42.1,  52.3,  62.5
 39, "BS Syncetel Bass FN",     6,  57.8,  14.2,  22.9,  31.5,  40.3,  49.0
 40, "BS Tripple Wobbler",      1,  58.4,  13.2,  22.9,  32.4,  41.9,  51.4
