 89, "LD 8bitter II FN",        6,  68.7,  19.1,  27.6,  35.8,  44.2,  52.0,  61.1
 90, "LD Acid Saw",             6,  68.7,  10.3,  17.9,  24.9,  32.0,  38.9,  45.8
 91, "LD Bon Voyage FN",        1,  68.7,  15.2,  22.2,  29.0,  36.2,  43.0,  50.3
 92, "LD Crystal Lead",         1,  68.7,  16.5,  24.7,  33.0,  41.7,  50.3,  58.7
 93, "LD Drop In Pulse",        3,  68.7,  54.2,  54.1,  38.3,  38.6,  46.1,  54.0
 94, "LD Funky Mod",            1,  68.7,  10.1,  17.2,  24.3,  31.3,  38.4,  45.5
 95, "LD Metal Wahuuu",         1,  69.3,  11.5,  20.6,  29.3,  38.0,  46.8,  55.6
 96, "LD Morph Sync",           1,  68.7,  21.0,  34.4,  47.7,  61.3,  74.7,  89.9
 97, "LD Noisy Sync Lead",      1,  68.7,  13.5,  24.5,  35.5,  46.4,  57.2,  67.9
 98, "LD Plastic Attack",       1,  69.3,  13.2,  21.3,  29.2,  37.0,  44.8,  52.5
 99, "LD Pleutonium FN",        1,  69.3,  17.2,  23.7,  30.1,  36.9,  43.2,  49.9
100, "LD Plucked String",       1,  69.3,  18.7,  28.2,  37.8,  47.7,  57.7,  68.4
101, "LD Power Lead",           5,  68.0,  12.7,  22.0,  31.4,  40.6,  49.8,  59.7
102, "LD Resobells FN",         1,  69.3,  19.0,  28.1,  37.0,  46.4,  55.6,  65.0
103, "LD Sci Fi Organ",         6,  68.7,  18.8,  30.0,  41.3,  53.0,  64.4,  76.1
104, "LD Soft Bell Lead",       4,  69.3,  19.4,  31.4,  43.5,  55.8,  67.9,  80.7
105, "LD Special Starter",      1,  68.0,  18.9,  29.7,  40.8,  51.9,  63.1,  74.1
106, "LD Spring Bell",          2,  68.7,  19.6,  31.8,  44.4,  57.2,  69.7,  83.3
107, "LD SYNCElead FN",         1,  68.0,  17.8,  26.7,  35.7,  45.1,  54.4,  63.9
108, "LD Technoshocker FN",     1,  68.7,  11.4,  19.8,  28.2,  36.8,  45.0,  53.8
109, "LD Thin Lead",            1,  69.3,  17.6,  26.2,  35.0,  44.4,  53.5,  62.7
110, "LD Tranceline FN",        1,  68.7,  17.8,  25.1,  32.3,  39.9,  47.2,  54.3
111, "LD Woholead FN",          1,  69.3,  10.5,  17.8,  25.2,  32.5,  40.0,  47.5
112, "PD  Ringmodded FN",       1,  69.3,  19.3,  27.8,  36.3,  45.4,  53.6,  63.0
113, "PD Base Pad",             6,  68.7,  49.3,  49.3,  26.2,  33.6,  40.9,  48.2
114, "PD Bellomatism FN",       3,  68.7,  60.4,  60.4,  33.5,  42.3,  51.0,  60.4
115, "PD Big Trancer FN",       6,  68.7,  17.8,  25.5,  33.2,  41.1,  48.7,  56.4
116, "PD Bit Orchestra",        6,  68.7,  18.6,  28.4,  38.4,  48.7,  58.9,  69.8
117, "PD Bursting Pad",         4,  68.7,  22.2,  35.8,  49.5,  63.1,  76.6,  90.3
118, "PD Dark Animations FN",   3,  68.7,  16.0,  23.7,  31.6,  39.4,  46.8,  54.9
119, "PD Easymat FN",           6,  69.3,  17.0,  24.8,  32.7,  40.8,  48.6,  57.0
120, "PD Floating Pad",         6,  68.7,  21.7,  35.8,  50.3,  65.4,  80.0,  95.5
121, "PD Gated Pad",            3,  68.7,  67.5,  64.5,  63.8,  47.6,  56.9,  66.2
122, "PD Glasometer FN",        3,  68.7,  63.9,  63.7,  53.8,  45.0,  54.3,  64.0
123, "PD Open Square FN",       6,  68.7,  59.4,  51.6,  35.6,  44.2,  52.3,  60.9
124, "PD Padwobbler FN",        6,  68.7,  68.3,  58.6,  39.7,  49.7,  59.4,  69.7
125, "PD Sun Rise",             6,  68.7,  67.9,  27.9,  37.6,  47.9,  57.9,  68.5
126, "PD Sweet Analogue",       4,  68.7,  70.8,  67.0,  67.0,  67.0,  59.4,  66.9
127, "PD Twoflower FN",         4,  68.0,  79.6,  77.8,  78.0,  51.0,  66.2,  78.3
  0, "! Startup Juno Osc",      6,  64.2,   9.4,  16.0,  22.6,  29.2,  35.7,  42.4
  1, "ARP 303 Like FN",         1,  65.5,  15.6,  23.4,  30.5,  37.9,  45.0,  52.8
  2, "ARP 303 Like II FN",      1,  66.1,  16.1,  24.2,  31.9,  39.9,  47.4,  55.8
  3, "ARP C64 FN",              1,  66.1,  22.5,  35.8,  48.7,  62.2,  75.1,  88.7
  4, "ARP C64 II FN",           1,  66.1,  21.9,  35.1,  47.9,  60.9,  73.6,  86.3
  5, "ARP C64 III FN",          1,  66.7,  21.9,  35.1,  48.2,  61.9,  75.1,  88.4
  6, "ARP C64 IV FN",           1,  66.7,  18.7,  26.7,  34.6,  42.7,  50.8,  58.7
  7, "ARP Demotrack ARP FN",    6,  66.7,  11.1,  18.8,  26.4,  34.0,  41.4,  49.2
  8, "ARP Rumpelkammer FN",     1,  67.4,  12.8,  21.5,  30.2,  38.7,  47.4,  56.0
  9, "BS 007 X",                6,  66.7,  12.1,  20.4,  28.5,  36.8,  45.0,  53.3
 10, "BS 7th Gates FN",         1,  67.4,  10.1,  17.3,  24.3,  31.1,  38.0,  44.7
 11, "BS Bass Deep Room",       1,  67.4,  15.5,  23.1,  30.3,  37.4,  44.6,  51.8
 12, "BS Bassolead FN",         1,  67.4,  18.5,  27.6,  36.7,  46.1,  55.6,  65.3
 13, "BS Basspa_ FN",           1,  66.7,  12.2,  20.4,  28.6,  36.9,  45.1,  53.4
 14, "BS C64 Octavebass FN",    1,  68.0,  17.7,  30.1,  42.0,  54.4,  66.3,  78.6
 15, "BS Clean Flat Bass",      1,  67.4,  10.0,  17.2,  24.2,  31.3,  38.4,  45.5
 16, "BS D&B Wubler",           1,  68.0,  10.9,  19.0,  26.5,  34.5,  42.1,  50.0
 17, "BS Dark Bass",            1,  68.0,  10.7,  18.9,  26.8,  34.5,  42.1,  49.9
 18, "BS Dark Night FN",        3,  67.4,  11.8,  19.1,  26.2,  33.6,  40.6,  48.1
 19, "BS Detuned FN",           1,  68.0,  12.3,  20.5,  28.8,  37.0,  45.0,  53.3
 20, "BS Easy Listener FN",     6,  67.4,  12.1,  20.4,  28.5,  36.9,  45.0,  53.2
 21, "BS Energyator FN",        1,  68.0,  10.3,  17.5,  24.5,  31.9,  38.8,  46.0
